Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Undaunted: North Africa ,2020,3272,7.85625,6.92111,1.26307,2.2537,67,9188,2,2,2,2,39
Dead Reckoning ,2022,2339,8.22716,6.92104,1.34213,3.3821,123,7801,1,4,3,3,89
Port Royal ,2014,16801,7.12387,6.92095,1.18733,1.6225,551,122221,2,5,3,4,264
Escape Plan ,2019,4956,7.52402,6.91753,1.38386,3.669,290,10813,1,5,4,4,148
First Class: All Aboard the Orient Express! ,2016,5610,7.42393,6.91735,1.13791,2.8014,141,21156,2,4,4,4,74
Star Wars: X-Wing (Second Edition) ,2018,2818,8.07773,6.9156,1.56163,3.0952,63,19862,2,2,2,2,35
Archipelago ,2012,8098,7.30062,6.91525,1.55823,3.7368,513,17037,2,5,4,4,173
The Grizzled ,2015,14281,7.14433,6.9146,1.28887,1.9774,354,57350,3,5,4,5,198
London ,2010,6530,7.33274,6.91424,1.26799,2.8852,453,19271,2,4,3,3,154
Ingenious ,2004,16881,7.10396,6.91413,1.19563,1.9093,1389,86222,2,4,2,2,331
Madeira ,2013,4377,7.55845,6.91254,1.51018,4.304,454,11084,2,4,4,4,104
Alhambra ,2003,32697,7.03207,6.91161,1.18328,2.1003,2353,114471,2,5,3,3,736
Time's Up! Title Recall! ,2008,3531,7.69456,6.91151,1.51603,1.1868,91,14518,4,4,6,6,36
High Society ,1995,12583,7.14364,6.91089,1.23546,1.4829,642,57506,3,5,4,5,195
TZAAR ,2007,3720,7.66122,6.91052,1.32073,2.5185,216,17456,2,2,2,2,39
The Fox in the Forest ,2017,14414,7.12319,6.91036,1.22465,1.5637,259,45613,2,2,2,2,98
Legends of Andor ,2012,18428,7.12976,6.90984,1.46798,2.7626,771,48875,1,4,4,4,344
Libertalia ,2012,13981,7.12476,6.90897,1.27996,2.239,502,34488,3,6,4,4,225
Fleet: The Dice Game ,2018,3655,7.67647,6.90767,1.14662,2.5059,85,19960,1,4,2,2,58
Airlines Europe ,2011,7321,7.29643,6.90446,1.18278,2.4359,429,17346,3,5,4,4,163
RoboRally ,1994,23670,7.06294,6.90413,1.54485,2.4293,1740,51168,3,8,5,6,294
Sushi Go! ,2013,44352,7.01214,6.90336,1.14857,1.1574,1239,222052,3,5,4,4,426
Elysium ,2015,9584,7.20174,6.90307,1.21703,2.7608,372,21343,2,4,3,3,172
Euphoria: Build a Better Dystopia ,2013,10622,7.19374,6.90289,1.40224,3.1198,484,27190,2,6,4,5,171
Wabash Cannonball ,2007,8157,7.24737,6.90267,1.34118,2.7785,623,23949,3,5,4,4,220
Love Letter: Premium Edition ,2016,5617,7.44025,6.90189,1.38279,1.3204,103,20488,3,8,4,6,92
Discworld: Ankh-Morpork ,2011,10246,7.24616,6.90161,1.37825,2.2054,589,23704,2,4,4,4,206
One Night Ultimate Werewolf ,2014,26595,7.07074,6.89961,1.61584,1.3787,676,197733,4,10,6,8,297
Vikings ,2007,8386,7.24561,6.89769,1.20261,2.5427,702,37409,2,4,3,3,223
Nova Luna ,2019,7485,7.30462,6.89753,1.16254,1.8785,214,61829,1,4,2,2,169
Camel Up ,2014,26305,7.04048,6.89753,1.23745,1.4777,896,92787,3,7,4,5,377
Sentinels of the Multiverse ,2011,15853,7.15614,6.89716,1.68724,2.5121,742,92286,1,5,4,4,339
Roads & Boats ,1999,3350,7.71203,6.89642,1.64951,4.194,366,6722,1,4,2,2,74
Runebound (Third Edition) ,2015,5977,7.4654,6.89631,1.40771,2.7172,198,11544,1,3,2,2,202
BattleCON: Devastation of Indines ,2013,3240,7.84014,6.89625,1.64688,3.0875,160,11397,1,5,2,2,79
Valeria: Card Kingdoms ,2016,5520,7.45355,6.89508,1.26613,1.9776,134,24897,2,4,3,3,89
The Guild of Merchant Explorers ,2022,3257,7.75494,6.89508,1.06003,2.0303,66,16240,1,4,2,2,71
Last Will ,2011,10190,7.17136,6.89487,1.17426,2.7203,472,24395,2,5,4,4,113
Karuba ,2015,10638,7.1768,6.89243,1.0974,1.4348,230,57202,2,4,4,4,124
MicroMacro: Crime City – Full House ,2021,3351,7.71468,6.89232,1.16683,1.2131,61,21714,1,3,2,2,56
Egizia ,2009,5423,7.3947,6.89228,1.19465,2.8359,384,19443,2,4,4,4,138
Queendomino ,2017,10453,7.18229,6.89052,1.152,2.0479,188,28775,2,4,2,2,113
Taj Mahal ,2000,7677,7.26843,6.88945,1.31975,2.9936,784,14439,3,5,4,4,156
Space Empires 4X ,2011,3758,7.69451,6.88943,1.52263,3.3871,310,8329,1,4,2,2,122
In the Hall of the Mountain King ,2019,4075,7.63765,6.88924,1.19284,2.8272,162,8830,2,5,3,4,112
Tales of the Arabian Nights ,2009,12551,7.16816,6.88862,1.64045,2.1479,629,22214,2,4,3,3,283
Vinhos ,2010,4824,7.47159,6.8879,1.48261,4.2017,471,8770,2,4,4,4,110
Jamaica ,2007,19469,7.06306,6.88743,1.24853,1.6615,833,49929,3,6,6,6,288
Aquatica ,2019,5656,7.38405,6.88742,1.18539,2.2992,127,17128,2,4,3,3,90
Woodcraft ,2022,3331,7.75355,6.88726,1.28418,3.8505,214,11828,1,3,3,3,104
