Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Maharaja: The Game of Palace Building in India ,2004,5058,7.10561,6.63682,1.28882,3.1757,575,7460,3,5,4,5,100
Unmatched Game System ,2019,1498,8.27899,6.63678,1.43668,1.9778,45,22961,2,2,2,2,34
Istanbul: The Dice Game ,2017,4515,7.15737,6.63649,1.1623,1.7766,94,24664,2,4,3,3,54
Jaws ,2019,5519,7.12584,6.63567,1.28266,2.1522,92,8926,2,4,4,4,96
Bridge ,1925,3063,7.45819,6.63533,1.99967,3.8762,307,24852,4,4,4,4,58
Lanterns: The Harvest Festival ,2015,11151,6.87572,6.63514,1.18448,1.5486,257,38378,2,4,4,4,105
Summoner Wars: Phoenix Elves vs Tundra Orcs ,2009,2656,7.5104,6.63482,1.47142,2.3049,82,3325,2,2,2,2,18
Next Station: London ,2022,2735,7.4649,6.63476,1.12107,1.4559,68,42768,1,4,2,2,43
Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition) ,2012,1860,7.94149,6.63443,1.35847,3.2534,146,4564,1,4,2,2,28
Thunder Alley ,2014,3511,7.31139,6.63411,1.49305,2.3902,205,10879,2,7,4,5,91
Caylus 1303 ,2019,2742,7.4844,6.63406,1.26377,2.885,113,5492,2,5,4,4,73
Brazil: Imperial ,2021,2538,7.68264,6.63364,1.40343,3,142,6485,2,4,4,4,85
Tak ,2017,2715,7.59948,6.63356,1.43157,2.4583,72,18266,2,2,2,2,29
Warhammer Underworlds: Shadespire ,2017,2845,7.6442,6.6323,1.52842,2.5161,62,15431,2,2,2,2,37
The Others ,2016,3943,7.32545,6.63192,1.58008,3.0265,113,6654,2,5,5,5,84
Adrenaline ,2016,6550,7.00379,6.63014,1.28008,2.3768,138,13332,3,5,4,5,102
Dungeons & Dragons: Castle Ravenloft Board Game ,2010,9141,6.98086,6.62795,1.43481,2.5041,605,21998,1,5,4,4,170
Marrakesh ,2022,1479,8.17802,6.62745,1.27154,3.3579,95,5352,2,4,3,3,56
Legendary: A Marvel Deck Building Game – Villains ,2014,2710,7.54392,6.62699,1.44145,2.7051,78,7100,1,4,3,3,24
Tidal Blades: Heroes of the Reef ,2020,2665,7.55751,6.62579,1.45285,2.8919,74,6070,1,4,3,3,70
Kingsburg (Second Edition) ,2017,2869,7.42249,6.62561,1.18243,2.4474,76,5996,2,5,4,4,37
DinoGenics ,2019,2317,7.62647,6.62529,1.4302,2.9211,76,7731,1,5,3,4,59
Attika ,2003,6539,6.99139,6.62521,1.24936,2.368,818,24278,2,4,2,2,202
Core Worlds ,2011,4245,7.15749,6.6251,1.35512,2.8962,260,11235,2,4,3,3,71
Louis XIV ,2005,5473,7.04689,6.62499,1.24298,3.0041,737,10226,2,4,4,4,149
Wasteland Express Delivery Service ,2017,3425,7.34226,6.62452,1.38416,2.967,91,6198,2,4,3,3,72
Smash Up: Science Fiction Double Feature ,2014,3999,7.25917,6.62422,1.30549,2.2892,83,2626,2,2,3,,16
Tiny Epic Quest ,2017,7334,6.98671,6.62376,1.33308,2.6765,136,14744,1,4,4,4,91
Orchard: A 9 card solitaire game ,2018,3129,7.37201,6.62322,1.15546,1.1882,85,55789,1,1,1,1,56
Meeple Circus ,2017,5601,7.04841,6.62322,1.30713,1.4421,95,17881,2,5,4,5,67
Qwirkle ,2006,19312,6.775,6.62252,1.24074,1.6005,816,83607,2,4,4,4,194
Zooloretto ,2007,14963,6.8013,6.62186,1.176,1.8576,1131,45891,3,5,4,4,191
Lowlands ,2018,2887,7.40761,6.62145,1.20425,3.0814,86,5963,2,4,3,3,61
Heroscape Master Set: Swarm of the Marro ,2007,2382,7.63438,6.6214,1.45307,2.2672,116,2383,2,4,2,2,14
Dungeons & Dragons: Wrath of Ashardalon Board Game ,2011,6521,7.10002,6.62117,1.42885,2.6065,310,11609,1,5,3,4,103
Snow Tails ,2008,6378,6.97141,6.6211,1.17423,2.0436,390,16040,2,5,5,5,96
Santa Monica ,2020,3933,7.21398,6.62073,1.15165,2.1478,115,12737,2,4,2,2,83
Web of Power ,2000,3506,7.30008,6.62045,1.32664,2.4448,353,9878,3,5,3,3,89
Condottiere ,1995,9922,6.87552,6.62004,1.33589,1.9599,724,22992,3,6,4,5,197
The Castles of Burgundy: The Card Game ,2016,6683,6.96495,6.61795,1.28701,2.58,150,24453,1,4,2,2,122
Britannia ,1986,4234,7.1923,6.61713,1.51071,3.1604,536,5182,4,4,4,4,154
Concept ,2013,19223,6.76818,6.61668,1.38519,1.3787,507,49668,3,12,6,6,140
Fabled Fruit ,2016,5959,6.99118,6.6143,1.23006,1.6094,128,46935,3,5,4,4,104
Ascension: Storm of Souls ,2011,3590,7.28044,6.61414,1.31633,2.3312,154,28443,2,4,2,2,47
Tiny Epic Dinosaurs ,2020,3190,7.34248,6.61313,1.1845,2.6216,74,7906,1,4,3,3,48
The Grimm Forest ,2018,5735,7.08885,6.61279,1.40168,1.9389,131,13157,3,4,4,4,104
5-Minute Dungeon ,2017,9274,6.94245,6.61235,1.36052,1.1039,231,46066,2,5,4,5,153
DC Comics Deck-Building Game ,2012,7269,7.03163,6.61172,1.49361,1.9892,277,35384,2,5,3,3,94
Legacy: The Testament of Duke de Crecy ,2013,4300,7.1356,6.61169,1.24964,2.7112,232,10705,1,4,2,3,104
Age of Industry ,2010,2980,7.34955,6.61085,1.35834,3.3629,259,7044,3,5,4,4,80
Hawaii ,2011,4482,7.11446,6.61047,1.28616,2.8977,303,15015,2,5,3,4,82
Summoner Wars: Guild Dwarves vs Cave Goblins ,2009,2393,7.56273,6.60977,1.44567,2.2319,69,2533,2,2,2,2,13
Dorfromantik: The Board Game ,2022,2098,7.72068,6.60563,1.42338,1.6883,77,25736,1,3,1,2,111
Moonrakers ,2020,2334,7.77895,6.60468,1.55796,2.4182,55,5371,3,5,4,4,66
Top Ten ,2020,2484,7.51992,6.6038,1.38714,1.0833,60,15516,4,9,6,8,53
Cat Lady ,2017,5773,7.03504,6.60296,1.17589,1.403,134,30570,2,4,2,2,118
Gold West ,2015,3017,7.31833,6.60199,1.12736,2.4731,93,8934,2,4,3,3,42
Flick 'em Up! ,2015,8915,6.86585,6.60068,1.26411,1.3333,198,15926,2,6,2,2,76
Unsettled ,2021,1643,8.07214,6.59688,1.41133,3.1765,68,5199,1,4,2,2,69
Roll Player Adventures ,2021,1473,8.21815,6.59589,1.41654,2.3333,48,8449,1,4,2,2,42
Mille Fiori ,2021,2619,7.43533,6.59539,1.1317,2.1538,78,11902,3,4,4,4,89
Riverboat ,2017,2597,7.4313,6.59377,1.09219,2.9192,99,6513,2,4,4,4,50
Rivals for Catan ,2010,7305,6.95718,6.59372,1.38281,2.3141,312,16116,2,2,2,2,84
Yedo: Deluxe Master Set ,2020,1595,7.97272,6.59334,1.38187,3.2182,55,4086,1,5,4,4,46
Rajas of the Ganges: The Dice Charmers ,2020,2274,7.55685,6.59207,1.12505,2.2879,66,17229,2,4,2,2,43
Caesar!: Seize Rome in 20 Minutes! ,2022,2073,7.63038,6.59136,1.10496,1.9394,66,9114,1,2,2,2,42
Herbaceous ,2017,5382,7.0361,6.59117,1.13731,1.2128,141,41704,1,4,4,4,91
Manila ,2005,5994,6.98883,6.59116,1.27127,2.032,563,13581,3,5,4,4,96
Sea Salt & Paper ,2022,2924,7.38034,6.58916,1.39115,1.44,75,41543,2,4,2,2,90
Star Trek: Frontiers ,2016,1835,7.8435,6.58766,1.446,4.3246,114,3770,1,3,1,1,56
Antike ,2005,4676,7.07815,6.587,1.35063,2.9921,636,7804,3,6,5,5,118
La Città ,2000,5227,7.01772,6.58654,1.28807,3.268,556,5873,2,5,4,4,94
Era: Medieval Age ,2019,3638,7.22313,6.5861,1.27118,2.2644,87,12355,1,4,2,2,53
The Speicherstadt ,2010,5047,7.02015,6.58605,1.23896,2.2687,361,15278,3,5,4,4,128
War of the Ring: The Card Game ,2022,1903,7.85671,6.58588,1.45551,2.8625,80,4892,2,2,4,4,99
Discoveries: The Journals of Lewis & Clark ,2015,4869,7.03535,6.58561,1.1552,2.3636,198,13788,2,4,3,3,75
Wildlands ,2018,3325,7.2819,6.58481,1.35548,2.1402,107,9876,2,4,4,4,95
"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD ",2017,2138,7.61903,6.5846,1.31828,3.0083,121,5189,3,4,4,4,70
Imperial Steam ,2021,1749,7.82714,6.58422,1.39521,4.1812,138,4360,2,4,4,4,77
Ascension: Return of the Fallen ,2011,3317,7.27708,6.58246,1.28506,2.157,121,27023,2,2,2,2,25
World's Fair 1893 ,2016,3863,7.16279,6.58204,1.1657,2.0102,98,11527,2,4,4,4,60
History of the World ,1991,4535,7.11643,6.58169,1.51267,2.7661,496,6174,4,6,6,6,106
Automobiles ,2016,3342,7.21773,6.58163,1.21234,2.2105,76,19576,2,5,3,4,41
Cockroach Poker ,2004,12506,6.78563,6.58136,1.4699,1.1069,496,56168,3,6,5,5,161
Black Fleet ,2014,5461,7.00152,6.58128,1.23507,1.9447,217,10522,3,4,4,4,86
Ticket to Ride: London ,2019,4285,7.11339,6.58078,1.11307,1.3333,87,19950,2,4,3,3,54
Cottage Garden ,2016,8253,6.8632,6.58063,1.19494,1.8947,171,27558,1,4,3,3,93
Irish Gauge ,2014,3152,7.25026,6.57962,1.23321,2.3506,77,8541,3,5,4,4,46
Winner's Circle ,2001,5515,6.98636,6.57938,1.23453,1.6082,513,15100,3,6,5,6,84
Empires of the Void II ,2018,2485,7.47704,6.57914,1.35671,3.4602,113,4472,2,5,3,3,61
Merchants of the Dark Road ,2022,2768,7.42076,6.57872,1.35804,3.1918,146,6412,1,4,3,3,82
Star Wars: The Queen's Gambit ,2000,2215,7.57594,6.5782,1.45341,2.4848,198,3738,2,2,2,2,42
Ecos: First Continent ,2019,3934,7.14656,6.57812,1.35472,2.5816,98,11495,2,4,3,4,89
Reavers of Midgard ,2019,2780,7.39098,6.57785,1.32439,2.9355,93,6389,2,4,4,4,67
Container: 10th Anniversary Jumbo Edition! ,2018,1917,7.67672,6.57776,1.42541,2.9796,49,4345,4,5,5,5,45
"Hey, That's My Fish! ",2003,21141,6.69239,6.57742,1.12425,1.4486,1536,92061,2,4,3,3,301
Legendary Encounters: A Predator Deck Building Game ,2015,2696,7.42077,6.57719,1.32529,2.6667,75,6745,1,4,3,3,42
Mr. Jack Pocket ,2010,8544,6.84897,6.5769,1.20944,1.8216,342,29506,2,2,2,2,55
A Study in Emerald ,2013,3418,7.20514,6.57654,1.6274,3.4458,240,8775,3,5,5,5,111
Archaeology: The New Expedition ,2016,3996,7.13483,6.57633,1.18888,1.2857,91,17597,2,5,3,4,82
Majesty: For the Realm ,2017,6250,6.93773,6.57364,1.13862,1.7273,165,30393,2,4,4,4,93
ICECOOL ,2016,10762,6.79519,6.57348,1.25666,1.0364,165,43607,3,4,4,4,106
Railroad Revolution ,2016,2766,7.341,6.57254,1.2545,3.2613,111,6731,2,4,3,4,55
Fields of Green ,2016,3747,7.14359,6.57222,1.20594,2.6263,99,10207,2,4,2,2,79
Startups ,2017,3544,7.18338,6.5721,1.2032,1.6066,61,17523,3,5,4,4,74
Falling Sky: The Gallic Revolt Against Caesar ,2016,1753,7.84591,6.57166,1.36633,3.9917,121,3301,1,4,4,4,55
Wiz-War (Eighth Edition) ,2012,4969,7.05298,6.57159,1.43622,2.3224,245,11737,2,4,4,4,83
Little Town ,2017,3708,7.19665,6.57138,1.14201,1.9182,110,13186,2,4,3,4,78
Mint Works ,2017,6421,6.93233,6.5706,1.21702,1.7205,161,34382,1,4,3,3,138
Codex Naturalis ,2021,3486,7.24116,6.57057,1.13177,1.7683,82,20976,2,4,2,3,61
The City of Kings ,2018,2475,7.54222,6.56879,1.62247,3.1959,97,10279,1,4,1,1,111
Dice Town ,2009,7534,6.86379,6.56871,1.26435,1.6909,372,22048,3,5,4,5,91
Valley of the Kings ,2014,4756,7.01683,6.56841,1.20313,2.1807,166,13009,2,4,2,2,75
Smash Up: Pretty Pretty Smash Up ,2015,3555,7.23089,6.56834,1.34137,2.1522,46,2239,2,2,3,,10
"Warhammer 40,000: Conquest ",2014,3173,7.36104,6.56808,1.52727,3.0362,138,13853,2,2,2,2,33
Ticket to Ride: New York ,2018,6509,6.93124,6.56733,1.16916,1.2381,105,29704,2,4,2,2,74
Firenze ,2010,3174,7.22955,6.56707,1.18154,2.56,175,10031,2,4,2,3,66
Outfoxed! ,2014,4015,7.16013,6.5667,1.26141,1.1228,114,25495,2,4,3,4,82
Space Hulk (Fourth Edition) ,2014,1782,7.94255,6.56569,1.43752,2.7222,90,2625,2,2,2,2,35
Zombicide Season 3: Rue Morgue ,2015,2726,7.51835,6.56483,1.4595,2.481,79,3951,1,6,3,3,26
Paper Tales ,2017,4793,7.02955,6.56475,1.29521,2.165,103,16814,2,5,4,4,71
Polis: Fight for the Hegemony ,2012,2353,7.52474,6.56441,1.5758,3.6756,225,5793,2,2,2,2,47
Merchant of Venus (Second Edition) ,2012,3836,7.1354,6.56401,1.46664,3,237,6743,2,4,3,3,72
Marvel Dice Masters: Uncanny X-Men ,2014,3816,7.15804,6.56357,1.38299,2.3684,114,12867,2,2,2,2,20
Islebound ,2016,3544,7.1704,6.56324,1.22147,2.7176,85,6610,2,4,3,4,52
Explorers of the North Sea ,2016,2975,7.30193,6.56297,1.18393,2.1262,103,9651,1,4,4,4,55
A Distant Plain ,2013,1728,7.8359,6.56264,1.3724,3.8649,148,2785,1,4,4,4,49
Spicy ,2020,3924,7.16952,6.56256,1.33878,1.3831,154,25476,3,6,4,5,80
Nations: The Dice Game ,2014,5578,6.94354,6.56169,1.26071,2.0042,237,32250,1,4,4,4,88
NMBR 9 ,2017,7325,6.8661,6.56155,1.22824,1.2205,127,61568,1,4,3,4,85
Alma Mater ,2020,2683,7.38192,6.5614,1.31916,3.7451,153,5989,2,4,4,4,104
Super Fantasy Brawl ,2022,2196,7.69903,6.5603,1.54964,2.2754,69,10353,2,2,2,2,49
The Lord of the Rings ,2000,15519,6.73802,6.55913,1.47138,2.5622,1334,27380,1,5,4,4,240
CO₂ ,2012,3892,7.10907,6.5577,1.49589,3.8738,325,7228,1,4,4,4,98
The Reckoners ,2018,1998,7.68814,6.55749,1.35879,2.7358,53,6226,1,6,4,4,40
Fauna ,2008,4512,7.03606,6.55584,1.24756,1.4741,232,15418,2,6,4,5,72
Linko ,2014,4923,6.99352,6.55548,1.21073,1.3917,240,39824,2,5,4,4,109
Quarto ,1991,7469,6.88331,6.55473,1.36507,1.9035,342,42227,2,2,2,2,69
Rallyman: GT ,2020,3743,7.21626,6.55463,1.57578,2.2212,113,34960,1,6,4,5,73
Via Nebula ,2016,4474,7.03158,6.55256,1.15387,2.2381,126,12170,2,4,3,4,79
Tales & Games: The Hare & the Tortoise ,2011,4103,7.08038,6.55211,1.15061,1.3643,140,18618,2,5,4,4,63
Metropolys ,2008,4228,7.03918,6.55158,1.19632,2.2045,396,11908,2,4,4,4,127
Jekyll vs. Hyde ,2021,2938,7.28909,6.55133,1.24912,1.9,70,17906,2,2,2,2,33
The Big Book of Madness ,2015,6671,6.90697,6.55073,1.32466,2.6893,177,15344,2,4,3,3,122
Rex: Final Days of an Empire ,2012,4456,7.06087,6.55058,1.52694,3.2863,262,5084,4,6,6,6,114
Ghost Fightin' Treasure Hunters ,2013,3798,7.14874,6.55022,1.21318,1.623,122,16382,1,4,4,4,59
Shikoku 1889 ,2004,1481,7.9335,6.55009,1.25757,3.9114,79,7525,3,4,3,4,58
CuBirds ,2018,6287,6.93104,6.54972,1.27033,1.3072,153,75132,2,5,3,3,121
Two Rooms and a Boom ,2013,5211,6.98455,6.54883,1.66281,1.4338,136,21607,8,30,14,14,70
Loony Quest ,2015,6355,6.88931,6.54693,1.13788,1.1964,168,19845,2,5,4,4,43
Zendo ,2001,3146,7.21829,6.54618,1.62901,2.5189,212,17346,3,5,4,4,45
Tawantinsuyu: The Inca Empire ,2020,2381,7.45008,6.54616,1.39052,4.1038,183,5997,1,4,3,4,78
Small World of Warcraft ,2020,3045,7.3515,6.54447,1.2929,2.5938,64,4734,2,5,4,4,37
Smash Up: Monster Smash ,2014,3208,7.25958,6.54395,1.3129,2.234,47,2008,2,2,3,,15
Star Wars: Legion ,2018,1781,8.02173,6.54394,1.55312,3.4906,53,7238,2,2,2,2,20
When I Dream ,2016,5370,6.97137,6.54326,1.32139,1.2,80,13199,4,10,6,6,49
Botanik ,2021,1923,7.66753,6.54301,1.15172,1.8163,49,11705,2,2,2,2,19
Runebound: Second Edition ,2005,8030,6.88751,6.54245,1.5281,2.678,823,15164,1,4,2,2,239
Hardback ,2018,3314,7.17987,6.54229,1.28555,2.1207,58,15830,1,4,2,2,44
Dream Home ,2016,6994,6.87767,6.54137,1.17509,1.6667,165,30060,2,4,3,4,88
Smash Up ,2012,26661,6.70976,6.54126,1.49686,2.0654,964,71466,2,4,3,3,406
Smart10 ,2017,2184,7.5137,6.54112,1.15425,1.1961,51,17527,2,6,3,4,48
Wilderness War ,2001,1854,7.70986,6.54068,1.32952,3.2978,225,2759,2,2,2,2,37
The Castles of Tuscany ,2020,2993,7.24998,6.54048,1.17651,2.2111,90,11199,2,4,3,3,47
Terror in Meeple City ,2013,7483,6.83276,6.54018,1.2746,1.4781,320,18098,2,4,4,4,62
Tide of Iron ,2007,3840,7.19972,6.54004,1.49211,3.4563,572,5752,2,2,2,2,105
Tsuro ,2005,27312,6.66387,6.53992,1.32886,1.2247,1353,130279,3,8,4,4,287
Oriflamme ,2019,3759,7.13156,6.5396,1.26573,1.6486,111,20481,3,5,4,4,71
Beer & Bread ,2022,2211,7.5197,6.53953,1.10201,2.3333,69,8330,2,2,2,2,26
Pictomania (Second Edition) ,2018,1961,7.58928,6.53921,1.20053,1.4444,45,7335,3,6,5,6,28
Mr. Jack in New York ,2009,3393,7.19353,6.53892,1.26889,2.5342,161,8682,2,2,2,2,36
Men at Work ,2019,3065,7.23218,6.53704,1.23332,1.0909,55,12416,2,5,3,4,31
Vinci ,1999,4043,7.06954,6.53685,1.34808,2.7823,441,6712,3,5,4,4,67
Quarriors! ,2011,13739,6.73782,6.5368,1.43307,1.9686,764,55821,2,4,3,4,236
Axis & Allies Anniversary Edition ,2008,2952,7.43314,6.53652,1.73193,3.1048,210,2800,2,6,2,2,138
Thunderstone: Dragonspire ,2011,2715,7.32358,6.53554,1.4661,2.6942,121,5218,1,4,2,3,36
Stronghold ,2009,3461,7.13819,6.53479,1.42867,3.6743,304,5338,2,4,2,2,93
Set a Watch ,2019,3179,7.26145,6.53458,1.29692,2.3762,101,7627,1,4,1,1,138
Ambush! ,1983,2354,7.50807,6.53442,1.54422,3.2571,280,2799,1,1,1,1,77
Netrunner ,1996,2444,7.437,6.53345,1.61225,2.9384,211,5094,2,2,2,2,32
Merlin ,2017,3555,7.12826,6.53188,1.38165,3.0813,123,10223,2,4,3,3,65
Ikusa ,1986,5159,7.02773,6.52989,1.38151,2.9516,517,3883,3,5,4,5,82
Canopy ,2021,2466,7.41644,6.52985,1.15519,2,83,9164,1,3,2,2,61
The Prodigals Club ,2015,2645,7.29768,6.5293,1.20281,3.2474,97,5233,2,5,4,4,41
Mottainai ,2015,4154,7.02987,6.52921,1.53682,3.1429,175,25231,2,3,2,2,93
Haggis ,2010,4340,6.99224,6.52842,1.357,2.1116,215,19734,2,3,2,2,94
Conspiracy: Abyss Universe ,2019,2844,7.27525,6.52816,1.14331,1.7647,85,23723,2,4,2,3,64
Jump Drive ,2017,4495,6.99222,6.52748,1.36648,2.0189,106,56105,1,4,3,3,96
China ,2005,4477,6.97992,6.5271,1.1773,2.2848,488,11915,3,5,3,3,96
Shadow Hunters ,2005,8677,6.82306,6.52659,1.51664,1.8215,493,39520,5,8,7,8,165
Coconuts ,2013,4348,7.03028,6.52642,1.29671,1.039,154,37252,2,4,4,4,49
Batman: Gotham City Chronicles ,2019,2531,7.63522,6.52631,1.78141,3.7436,117,6873,2,4,2,2,63
Rolling Realms ,2021,3243,7.17373,6.52598,1.26668,1.9103,78,23007,1,6,1,2,50
Faiyum ,2020,2065,7.51424,6.52534,1.22945,3.1058,104,4962,1,5,4,4,105
Kingdomino Origins ,2021,1938,7.57832,6.52434,1.0488,1.9302,43,7420,2,4,2,2,24
Insider ,2016,3876,7.05364,6.52397,1.29772,1.129,62,31061,4,8,6,6,50
Eight-Minute Empire: Legends ,2013,5144,6.9255,6.52312,1.15434,1.9797,197,11028,2,4,4,4,68
Animal Upon Animal ,2005,8269,6.78927,6.52267,1.1827,1.0402,398,53550,2,4,4,4,112
Horizons of Spirit Island ,2022,1134,8.37778,6.52062,1.3894,3.5312,64,2642,1,3,2,3,43
Stella: Dixit Universe ,2021,2668,7.30927,6.51839,1.24197,1.1475,61,13657,3,6,5,6,40
Automania ,2015,2460,7.32283,6.51814,1.06516,2.74,100,5159,2,4,4,4,49
BattleCON: War of Indines ,2010,1911,7.65775,6.51809,1.60932,2.7586,87,5903,2,4,2,2,29
Diamonds ,2014,5388,6.89748,6.51761,1.21811,1.546,174,20416,3,6,4,5,54
Battle Cry ,1999,3519,7.15361,6.51749,1.37907,2.095,421,8018,2,2,2,2,55
Wendake ,2017,2158,7.48177,6.51666,1.2585,3.61,100,4758,1,4,4,4,56
Dead Men Tell No Tales ,2015,3726,7.1141,6.51617,1.2679,2.518,139,7849,1,5,3,3,60
Obscurio ,2019,3473,7.14603,6.51535,1.31802,1.8814,59,7735,4,8,5,8,51
Encore! ,2016,4757,6.964,6.51439,1.12981,1.1461,89,85989,1,6,2,2,82
Expeditions ,2023,1599,7.91323,6.5139,1.49187,3.0449,89,5554,1,4,3,3,76
Domaine ,2003,4467,6.98579,6.51343,1.2504,2.7113,471,7013,2,4,4,4,83
Shadowrun: Crossfire ,2014,3645,7.12254,6.51317,1.68627,2.8242,182,21665,1,4,4,4,103
Chimera Station ,2017,2795,7.23821,6.51307,1.27111,3.1512,86,6948,2,4,3,3,58
"Julius Caesar: Caesar, Pompey, and the Roman Civil War ",2010,1648,7.78608,6.51265,1.29218,2.4566,173,4328,2,2,2,2,31
Sushi Roll ,2019,3866,7.04687,6.51108,1.13945,1.2333,60,14622,2,5,4,4,43
Mysterium Park ,2020,3693,7.1099,6.51087,1.28402,1.4697,66,12507,2,6,4,4,51
Loopin' Louie ,1992,9251,6.74795,6.51074,1.48165,1.0522,651,95167,2,2,4,4,168
Fallout Shelter: The Board Game ,2020,2950,7.25174,6.51065,1.13087,2.0141,71,6132,2,4,3,3,40
Quartermaster General ,2014,2685,7.3114,6.51059,1.47969,2.2922,154,8987,2,2,6,6,101
Legacy of Dragonholt ,2017,3081,7.22066,6.51031,1.69078,1.234,94,10708,1,3,1,1,127
Three Kingdoms Redux ,2014,1522,7.8637,6.50977,1.41932,4.0488,123,2966,3,3,3,3,43
Deep Space D-6 ,2015,3422,7.18021,6.50974,1.33524,1.6759,108,28357,1,1,1,1,55
Yggdrasil ,2011,3958,7.03499,6.50914,1.36679,2.5973,226,10170,1,6,2,3,91
Andean Abyss ,2012,1913,7.61137,6.509,1.40211,3.7833,203,3708,1,4,4,4,66
Honshū ,2016,4987,6.92227,6.50802,1.11776,1.9368,95,16548,2,5,4,4,66
Cockroach Poker Royal ,2012,3785,7.05645,6.50743,1.36885,1.1224,98,17497,3,6,4,5,47
Catan Card Game ,1996,13883,6.70515,6.50704,1.41494,2.4402,1129,21409,2,2,2,2,112
On Tour ,2019,4771,6.94659,6.50628,1.30872,1.45,80,25409,1,8,2,2,57
Witness ,2014,2658,7.24876,6.50556,1.39841,1.5,64,10431,4,4,4,4,26
Unlock!: Escape Adventures – Squeek & Sausage ,2017,2970,7.16355,6.50537,1.32489,2.0857,35,3709,1,4,2,3,42
World of Warcraft: Wrath of the Lich King ,2021,2416,7.47838,6.50484,1.256,2.1695,59,5214,1,5,3,3,38
Forum Trajanum ,2018,2793,7.23139,6.50465,1.33222,3.4737,114,9301,2,4,3,3,53
Fortune and Glory: The Cliffhanger Game ,2011,3851,7.10209,6.50449,1.66804,2.881,252,7928,1,6,3,3,81
Sons of Anarchy: Men of Mayhem ,2014,2896,7.25655,6.50422,1.35554,2.5648,108,4715,3,4,4,4,60
Battles of Westeros ,2010,2979,7.2484,6.50381,1.47855,3.2193,228,4814,2,2,2,2,34
Horrified: American Monsters ,2021,2057,7.56084,6.50349,1.13415,2.1379,29,4745,1,5,3,3,26
Cross Clues ,2020,2882,7.2706,6.50276,1.25516,1.0411,73,32042,2,6,4,4,60
Risk: Star Wars Edition ,2015,4179,7.0038,6.50254,1.24045,1.8521,142,9781,2,2,2,2,60
The Game ,2015,11164,6.7118,6.50198,1.32877,1.2444,360,93498,1,5,3,3,149
1812: The Invasion of Canada ,2012,2369,7.33881,6.50159,1.21331,2.185,200,4806,2,5,2,2,73
Power Grid: Factory Manager ,2009,6001,6.84275,6.5015,1.33609,2.9958,475,10505,2,5,4,4,71
Fallout ,2017,7370,6.92573,6.50064,1.59709,3.0122,246,12614,1,3,1,1,214
Warhammer Quest ,1995,2524,7.49264,6.50044,1.66905,2.6882,170,3419,1,4,4,4,35
Vanuatu ,2011,2738,7.22181,6.49981,1.44587,3.303,198,5504,3,5,4,4,80
Machi Koro ,2012,31977,6.6081,6.49871,1.36129,1.5249,1105,117390,2,4,4,4,356
Massive Darkness ,2017,4674,7.12416,6.49749,1.63902,2.5493,142,11527,1,4,4,4,80
For the People ,1998,1657,7.7803,6.49724,1.43745,3.7224,245,2480,2,2,2,2,38
Las Vegas Royale ,2019,2111,7.45084,6.49711,1.14775,1.4043,47,7576,3,5,4,5,36
Primordial Soup ,1997,4690,6.92733,6.49676,1.3258,2.7321,474,6301,3,4,4,4,70
Stick 'Em ,1993,3550,7.04635,6.49575,1.33027,1.9094,254,15247,3,6,3,4,78
Whistle Stop ,2017,3483,7.07695,6.49538,1.24473,2.7654,81,8903,2,5,4,4,49
La Isla ,2014,5503,6.86694,6.49533,1.16437,2.2528,269,18126,2,4,4,4,91
Coffee Traders ,2021,1667,7.74693,6.49489,1.37569,4.2432,148,3802,3,5,4,5,79
Circle the Wagons ,2017,3357,7.08705,6.49464,1.08039,1.6316,76,19626,1,2,2,2,46
Crisis ,2016,1963,7.51487,6.49299,1.20429,3.0706,85,6232,2,5,4,4,51
Legend of the Five Rings: The Card Game ,2017,2726,7.36095,6.49292,1.6913,4.0163,123,16159,2,2,2,2,31
No Retreat! The Russian Front ,2011,1659,7.75515,6.49227,1.48257,3.1319,182,3338,1,2,2,2,39
Caylus Magna Carta ,2007,4963,6.89398,6.4917,1.24969,2.8704,494,8954,2,4,3,4,103
Hansa ,2004,5139,6.88167,6.49165,1.15877,2.337,629,11870,2,4,2,2,165
Blueprints ,2013,6753,6.79671,6.49117,1.12198,1.6868,265,21581,2,4,4,4,96
Flick of Faith ,2019,2325,7.37343,6.49038,1.2631,1.2258,62,13588,2,4,4,4,47
Plague Inc.: The Board Game ,2017,3183,7.38482,6.48834,1.40022,2.15,100,7983,1,4,4,4,69
Witch's Brew ,2008,3813,7.01378,6.48819,1.24695,1.87,323,10483,4,5,5,5,105
Claustrophobia 1643 ,2019,1450,8.02384,6.48816,1.34498,2.6667,45,3292,2,2,2,2,29
Watson & Holmes ,2015,2583,7.28573,6.48791,1.38982,2.1346,52,5869,3,7,4,5,36
Tiny Epic Zombies ,2018,5132,6.97065,6.48753,1.37678,2.4792,96,9881,1,5,3,3,60
Escape from the Aliens in Outer Space ,2010,4792,6.92905,6.48662,1.35815,1.9196,112,11915,4,8,6,6,59
