Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Category_1,RankCat_1,ScoreCat_1,Category_2,RankCat_2,ScoreCat_2,AmazonPrice
Spirits of the Wild ,https://boardgamegeek.com/boardgame/256606/spirits-wild,1235,2018,2460,7.35023,6.48087,1.13173,1.3968,63,13894,1,2,2,2,2,22,15,30,"Action Retrieval
Hand Management
Set Collection
",Family ,310,6.63745,,,,Unknown
Rise of Augustus ,https://boardgamegeek.com/boardgame/137297/rise-augustus,1236,2013,8205,6.73285,6.48152,1.22785,1.639,421,43882,17,2,6,3,4,113,30,30,"Bingo
Open Drafting
Push Your Luck
Set Collection
",Family ,368,6.54826,,,,Unknown
Witch's Brew ,https://boardgamegeek.com/boardgame/34084/witchs-brew,1237,2008,3829,7.01304,6.48124,1.24839,1.87,323,10556,8,4,5,5,5,105,30,60,"Hand Management
Simultaneous Action Selection
",Strategy ,695,6.59175,Family ,329,6.60183,Unknown
On Tour ,https://boardgamegeek.com/boardgame/251412/tour,1238,2019,5050,6.89786,6.4807,1.32326,1.4157,89,27515,0,1,8,2,2,62,20,20,"Bingo
Dice Rolling
Line Drawing
Network and Route Building
Paper-and-Pencil
Push Your Luck
",Family ,345,6.58045,,,,$44.00 
The Wolves ,https://boardgamegeek.com/boardgame/368058/wolves,1239,2022,2397,7.41191,6.4837,1.21337,2.7978,89,7047,3,2,4,3,3,82,75,75,"Area Majority / Influence
Grid Movement
Hexagon Grid
Modular Board
Take That
Variable Set-up
",Strategy ,667,6.61756,,,,$49.99 
Plague Inc.: The Board Game ,https://boardgamegeek.com/boardgame/195162/plague-inc-board-game,1240,2017,3277,7.37038,6.4801,1.40004,2.1524,105,8151,0,1,4,4,4,70,60,60,"Area Majority / Influence
Hand Management
Network and Route Building
Simulation
Take That
Tile Placement
",Strategy ,758,6.53099,,,,$42.08 
18Chesapeake ,https://boardgamegeek.com/boardgame/253608/18chesapeake,1241,2020,1592,7.72339,6.48144,1.26774,3.8276,87,7440,3,3,6,4,4,51,180,180,"Auction/Bidding
Hexagon Grid
Market
Network and Route Building
Ownership
Stock Holding
",Strategy ,612,6.67829,,,,Unknown
Pathfinder Adventure Card Game: Skull & Shackles – Base Set ,https://boardgamegeek.com/boardgame/151007/pathfinder-adventure-card-game-skull-shackles-base,1242,2014,2671,7.29328,6.47959,1.55608,2.9271,96,18744,2,1,4,3,4,46,90,90,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Move Through Deck
Role Playing
Scenario / Mission / Campaign Game
",Customizable,41,6.98427,Thematic,231,6.75493,$39.99 
Steam Park ,https://boardgamegeek.com/boardgame/121410/steam-park,1243,2013,5995,6.83208,6.4784,1.22573,2.1187,219,11327,5,2,4,4,4,68,60,60,"Dice Rolling
Memory
Modular Board
Open Drafting
Real-Time
",Family ,355,6.56236,,,,$46.86 
Poker ,https://boardgamegeek.com/boardgame/1115/poker,1244,1810,10876,6.71636,6.47661,1.89508,2.4262,711,44149,0,3,9,5,6,157,60,60,"Betting and Bluffing
Player Elimination
Set Collection
",Strategy ,806,6.48072,,,,Unknown
Watson & Holmes ,https://boardgamegeek.com/boardgame/182694/watson-holmes,1245,2015,2603,7.27439,6.47602,1.38931,2.1346,52,5946,1,3,7,4,5,36,45,75,"Auction/Bidding
Modular Board
Player Elimination
Simultaneous Action Selection
Variable Player Powers
",Thematic,234,6.75077,,,,Unknown
Fairy Tale ,https://boardgamegeek.com/boardgame/13823/fairy-tale,1246,2004,8886,6.70928,6.47593,1.25839,1.7671,657,41039,1,2,5,4,4,162,30,30,"Closed Drafting
Hand Management
Set Collection
Simultaneous Action Selection
",Strategy ,765,6.52135,Family ,383,6.53134,Unknown
Colossal Arena ,https://boardgamegeek.com/boardgame/105/colossal-arena,1247,1997,7258,6.76406,6.47492,1.23052,2.0203,739,15437,0,2,5,3,3,193,40,60,"Betting and Bluffing
Hand Management
Investment
",Strategy ,760,6.52979,Family ,377,6.53596,Unknown
Cleopatra and the Society of Architects ,https://boardgamegeek.com/boardgame/22141/cleopatra-and-society-architects,1248,2006,6558,6.80074,6.47334,1.17685,2.2817,646,11058,4,3,5,4,4,90,60,60,"Auction/Bidding
Dice Rolling
Enclosure
Grid Coverage
Hand Management
Open Drafting
",Strategy ,751,6.534,Family ,364,6.55138,Unknown
Zombie Teenz Evolution ,https://boardgamegeek.com/boardgame/310448/zombie-teenz-evolution,1249,2020,1721,7.69639,6.47601,1.27711,1.4706,34,22822,9,2,4,3,4,27,15,25,"Action Points
Cooperative Game
Dice Rolling
Events
Legacy Game
Pick-up and Deliver
",Family ,280,6.66893,,,,$24.99 
