Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
T.I.M.E Stories ,2015,27038,7.40924,7.22136,1.72748,2.5955,576,63118,Thematic Games,1,2,4,4,4.0,366,,,,
Steam ,2009,10108,7.56377,7.22052,1.35391,3.4568,694,20487,Strategy Games,1,3,5,4,4.0,126,,,,
Viticulture ,2013,13126,7.51076,7.22034,1.43617,2.9327,446,35990,Strategy Games,1,2,5,3,4.0,147,,,,
Darwin's Journey ,2023,3675,8.22406,7.21807,1.29811,3.8381,278,11512,Strategy Games,1,1,4,3,3.0,151,,,,
Clank!: Catacombs ,2022,3181,8.34179,7.21807,1.12646,2.5278,72,11986,Family Games,1,1,4,3,3.0,58,Strategy Games,1,,
Revive ,2022,3673,8.19762,7.21795,1.18576,3.4,210,12928,Strategy Games,1,1,4,3,3.0,131,,,,
Vindication ,2018,6674,7.80008,7.21552,1.41446,3.0759,224,17973,Strategy Games,1,2,5,4,4.0,121,,,,
Western Legends ,2018,10342,7.61306,7.215,1.40353,2.8308,260,20918,Thematic Games,1,3,5,4,4.0,223,,,,
Endless Winter: Paleoamericans ,2022,6479,7.81724,7.21286,1.34861,3.2762,344,17571,Strategy Games,1,1,4,3,3.0,202,,,,
Lewis & Clark: The Expedition ,2013,15181,7.45492,7.21276,1.29547,3.3333,741,39131,Strategy Games,1,1,4,3,3.0,348,,,,
Tapestry ,2019,18892,7.44478,7.21264,1.62273,2.9254,710,94005,Strategy Games,1,1,4,3,3.0,388,,,,
Clash of Cultures: Monumental Edition ,2021,3125,8.39937,7.21261,1.33522,3.65,160,7297,Strategy Games,1,2,4,3,4.0,95,,,,
Bora Bora ,2013,10044,7.55994,7.20778,1.34045,3.7327,636,25068,Strategy Games,1,2,4,4,4.0,226,,,,
Arcadia Quest ,2014,10264,7.62283,7.20091,1.50403,2.5318,346,27280,Thematic Games,1,2,4,4,4.0,182,,,,
7 Wonders (Second Edition) ,2020,5938,7.87582,7.19935,1.26916,2.2958,213,26187,Family Games,1,3,7,4,5.0,120,Strategy Games,1,,
Kingdomino ,2016,44793,7.31697,7.19922,1.1254,1.2204,998,347358,Family Games,1,2,4,2,2.0,651,,,,
Rococo ,2013,8771,7.58483,7.19263,1.16233,3.0856,432,19906,Strategy Games,1,2,5,3,3.0,166,,,,
Battle Line ,2000,17127,7.41354,7.19252,1.26432,1.8941,1209,97017,Strategy Games,1,2,2,2,2.0,186,,,,
Forgotten Waters ,2020,5464,7.85854,7.19216,1.39671,2.1121,107,11776,Thematic Games,1,2,7,5,5.0,135,,,,
Seasons ,2012,24306,7.35996,7.18748,1.37612,2.7802,969,92948,Strategy Games,1,2,3,2,2.0,524,,,,
Dixit: Odyssey ,2011,20288,7.40806,7.18742,1.34517,1.1707,615,40553,Party Games,1,4,12,6,6.0,208,,,,
Ethnos ,2017,12929,7.46633,7.18547,1.21499,2.0235,255,42257,Strategy Games,1,2,6,4,4.0,207,,,,
Anno 1800 ,2020,6153,7.75436,7.18386,1.16117,3.148,223,19313,Strategy Games,1,2,4,3,3.0,135,,,,
The Manhattan Project: Energy Empire ,2016,5960,7.75456,7.18196,1.16316,3.0427,164,17754,Strategy Games,1,1,5,4,4.0,112,,,,
Cryptid ,2018,13192,7.45866,7.18023,1.28072,2.2317,259,64448,Family Games,1,3,5,4,4.0,194,Strategy Games,1,,
Imperial ,2006,8687,7.59793,7.17921,1.51011,3.5645,976,16743,Strategy Games,1,3,6,4,4.0,290,,,,
Hive ,2000,35686,7.31782,7.17898,1.32953,2.3182,1788,193468,Abstract Games,1,2,2,2,2.0,311,,,,
Power Grid Deluxe: Europe/North America ,2014,4329,7.95768,7.17229,1.27059,3.1957,138,6735,Strategy Games,1,2,6,4,5.0,52,,,,
