Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Snow Tails ,2008,6384,6.97129,6.62126,1.17457,2.0436,390,16049,Family Games,1,2,5,5,5.0,96,,,,
Dungeons & Dragons: Wrath of Ashardalon Board Game ,2011,6523,7.09995,6.62094,1.42849,2.6065,310,11623,Thematic Games,1,1,5,3,4.0,103,,,,
Santa Monica ,2020,3946,7.21193,6.62092,1.15215,2.1478,115,12793,Family Games,1,2,4,2,2.0,83,Strategy Games,1,,
Web of Power ,2000,3507,7.3,6.62052,1.32646,2.4448,353,9885,Family Games,1,3,5,3,3.0,89,Strategy Games,1,,
Condottiere ,1995,9931,6.87513,6.62005,1.33608,1.9599,724,23023,Strategy Games,1,3,6,4,5.0,197,,,,
The Castles of Burgundy: The Card Game ,2016,6685,6.96478,6.6179,1.28801,2.58,150,24498,Strategy Games,1,1,4,2,2.0,123,,,,
Britannia ,1986,4235,7.19131,6.61661,1.51007,3.1604,536,5184,Wargames,1,4,4,4,4.0,154,,,,
Concept ,2013,19243,6.76707,6.61613,1.38552,1.3787,507,49718,Party Games,1,3,12,6,6.0,140,,,,
Dorfromantik: The Board Game ,2022,2162,7.71331,6.61525,1.42099,1.6923,78,26585,Family Games,1,1,3,1,2.0,113,,,,
Fabled Fruit ,2016,5959,6.99099,6.61411,1.23059,1.6094,128,47105,Family Games,1,3,5,4,4.0,104,,,,
Tiny Epic Dinosaurs ,2020,3206,7.3407,6.61396,1.1848,2.6216,74,7930,Strategy Games,1,1,4,3,3.0,48,,,,
Ascension: Storm of Souls ,2011,3592,7.27922,6.61356,1.31711,2.3312,154,28446,Strategy Games,1,2,4,2,2.0,47,,,,
The Grimm Forest ,2018,5740,7.08978,6.61334,1.40146,1.9389,131,13171,Family Games,1,3,4,4,4.0,104,,,,
5-Minute Dungeon ,2017,9293,6.94194,6.61254,1.36114,1.1039,231,46213,Family Games,1,2,5,4,5.0,153,,,,
DC Comics Deck-Building Game ,2012,7278,7.03222,6.61216,1.49458,1.9892,277,35410,Thematic Games,1,2,5,3,3.0,94,,,,
Legacy: The Testament of Duke de Crecy ,2013,4306,7.13367,6.61084,1.24885,2.7124,233,10708,Strategy Games,1,1,4,2,3.0,104,Thematic Games,1,,
Hawaii ,2011,4487,7.11415,6.61043,1.28566,2.8977,303,15024,Strategy Games,1,2,5,3,4.0,82,,,,
Sea Salt & Paper ,2022,3072,7.37974,6.61015,1.39077,1.4359,78,43928,Family Games,1,2,4,2,2.0,92,,,,
Age of Industry ,2010,2982,7.34764,6.60997,1.35945,3.3629,259,7045,Strategy Games,1,3,5,4,4.0,80,,,,
Summoner Wars: Guild Dwarves vs Cave Goblins ,2009,2393,7.56273,6.60977,1.44567,2.2319,69,2533,Customizable Games,1,2,2,2,2.0,13,Strategy Games,1,,
Moonrakers ,2020,2354,7.77429,6.60669,1.55438,2.4182,55,5409,Strategy Games,1,3,5,4,4.0,66,Thematic Games,1,,
Top Ten ,2020,2505,7.51708,6.60393,1.39058,1.082,61,15613,Party Games,1,4,9,6,8.0,53,,,,
Mille Fiori ,2021,2659,7.43875,6.60367,1.12945,2.1646,79,12049,Family Games,1,3,4,4,4.0,91,Strategy Games,1,,
Cat Lady ,2017,5789,7.03404,6.60298,1.17582,1.403,134,30617,Family Games,1,2,4,2,2.0,118,,,,
Gold West ,2015,3019,7.31828,6.60226,1.127,2.4731,93,8947,Strategy Games,1,2,4,3,3.0,42,,,,
Flick 'em Up! ,2015,8920,6.86542,6.60046,1.26418,1.3333,198,15930,Family Games,1,2,6,2,2.0,76,Thematic Games,1,,
Unsettled ,2021,1651,8.06882,6.59804,1.41206,3.1765,68,5213,Thematic Games,1,1,4,2,2.0,71,,,,
War of the Ring: The Card Game ,2022,1946,7.85639,6.59576,1.44867,2.8625,80,5037,Strategy Games,1,2,2,4,4.0,99,,,,
Roll Player Adventures ,2021,1479,8.21591,6.59549,1.41836,2.3333,48,8487,Thematic Games,1,1,4,2,2.0,42,,,,
Caesar!: Seize Rome in 20 Minutes! ,2022,2102,7.62768,6.59448,1.10474,1.9394,66,9225,Strategy Games,1,1,2,2,2.0,42,Wargames,1,,
Riverboat ,2017,2604,7.43072,6.59443,1.09226,2.9192,99,6524,Strategy Games,1,2,4,4,4.0,50,,,,
Yedo: Deluxe Master Set ,2020,1598,7.97089,6.59429,1.37985,3.2182,55,4098,Strategy Games,1,1,5,4,4.0,46,,,,
Rajas of the Ganges: The Dice Charmers ,2020,2289,7.55512,6.594,1.12591,2.2879,66,17315,Family Games,1,2,4,2,2.0,43,,,,
Rivals for Catan ,2010,7320,6.95596,6.59245,1.38498,2.3141,312,16130,Strategy Games,1,2,2,2,2.0,84,,,,
Manila ,2005,5996,6.98892,6.59179,1.26937,2.032,563,13592,Family Games,1,3,5,4,4.0,96,,,,
Herbaceous ,2017,5392,7.03418,6.59029,1.13802,1.2128,141,41764,Family Games,1,1,4,4,4.0,91,,,,
Era: Medieval Age ,2019,3648,7.22459,6.58711,1.27104,2.2644,87,12394,Family Games,1,1,4,2,2.0,53,Strategy Games,1,,
Antike ,2005,4676,7.07815,6.587,1.35063,2.9921,636,7812,Strategy Games,1,3,6,5,5.0,118,,,,
La Città ,2000,5229,7.01743,6.58652,1.288,3.2675,557,5875,Strategy Games,1,2,5,4,4.0,95,,,,
The Speicherstadt ,2010,5049,7.02064,6.58624,1.23819,2.2687,361,15284,Strategy Games,1,3,5,4,4.0,128,,,,
Discoveries: The Journals of Lewis & Clark ,2015,4874,7.03545,6.58602,1.15506,2.3636,198,13808,Strategy Games,1,2,4,3,3.0,75,,,,
"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD ",2017,2141,7.62003,6.58594,1.31739,3.0083,121,5229,Strategy Games,1,3,4,4,4.0,70,Wargames,1,,
Star Trek: Frontiers ,2016,1836,7.83923,6.58581,1.44928,4.3246,114,3772,Strategy Games,1,1,3,1,1.0,57,,,,
Wildlands ,2018,3327,7.28068,6.58428,1.35234,2.1402,107,9887,Strategy Games,1,2,4,4,4.0,95,,,,
Imperial Steam ,2021,1758,7.81936,6.58274,1.40139,4.1812,138,4388,Strategy Games,1,2,4,4,4.0,77,,,,
World's Fair 1893 ,2016,3874,7.16183,6.58219,1.16632,2.0102,98,11540,Family Games,1,2,4,4,4.0,60,Strategy Games,1,,
History of the World ,1991,4537,7.11671,6.58207,1.51263,2.7661,496,6176,Strategy Games,1,4,6,6,6.0,106,Thematic Games,1,Wargames,1
Ascension: Return of the Fallen ,2011,3318,7.27617,6.58199,1.2854,2.157,121,27024,Strategy Games,1,2,2,2,2.0,25,,,,
Cockroach Poker ,2004,12533,6.78652,6.58168,1.47056,1.1069,496,56322,Party Games,1,3,6,5,5.0,162,,,,
Irish Gauge ,2014,3162,7.25133,6.58168,1.23166,2.3506,77,8560,Strategy Games,1,3,5,4,4.0,46,,,,
Automobiles ,2016,3344,7.21722,6.58136,1.21274,2.2105,76,19602,Family Games,1,2,5,3,4.0,41,Strategy Games,1,,
Merchants of the Dark Road ,2022,2784,7.4213,6.58127,1.35787,3.1905,147,6440,Strategy Games,1,1,4,3,3.0,82,,,,
Ticket to Ride: London ,2019,4300,7.11398,6.58125,1.11335,1.3333,87,20008,Family Games,1,2,4,3,3.0,55,,,,
Empires of the Void II ,2018,2488,7.47767,6.58014,1.35631,3.4602,113,4475,Strategy Games,1,2,5,3,3.0,61,,,,
Black Fleet ,2014,5464,6.99978,6.58012,1.23572,1.9447,217,10531,Family Games,1,3,4,4,4.0,87,,,,
Cottage Garden ,2016,8261,6.86217,6.58006,1.19462,1.8947,171,27604,Family Games,1,1,4,3,3.0,93,,,,
Winner's Circle ,2001,5521,6.98632,6.57969,1.23407,1.6082,513,15118,Family Games,1,3,6,5,6.0,85,,,,
Star Wars: The Queen's Gambit ,2000,2217,7.577,6.5793,1.4532,2.4848,198,3739,Thematic Games,1,2,2,2,2.0,42,,,,
Ecos: First Continent ,2019,3946,7.14588,6.57884,1.35264,2.5816,98,11530,Strategy Games,1,2,4,3,4.0,89,,,,
Container: 10th Anniversary Jumbo Edition! ,2018,1921,7.67552,6.57794,1.42437,2.9796,49,4350,Strategy Games,1,4,5,5,5.0,45,,,,
Reavers of Midgard ,2019,2785,7.39099,6.5779,1.3235,2.9355,93,6409,Strategy Games,1,2,4,4,4.0,67,,,,
"Hey, That's My Fish! ",2003,21149,6.69256,6.57744,1.1245,1.4486,1536,92144,Abstract Games,1,2,4,3,3.0,302,Family Games,1,,
A Study in Emerald ,2013,3419,7.20581,6.5771,1.62736,3.4458,240,8783,Strategy Games,1,3,5,5,5.0,111,,,,
Legendary Encounters: A Predator Deck Building Game ,2015,2695,7.42093,6.57709,1.32551,2.6667,75,6753,Thematic Games,1,1,4,3,3.0,42,,,,
Archaeology: The New Expedition ,2016,4006,7.13547,6.57661,1.19041,1.2857,91,17634,Family Games,1,2,5,3,4.0,82,,,,
Mr. Jack Pocket ,2010,8554,6.84845,6.57648,1.20933,1.8251,343,29514,Strategy Games,1,2,2,2,2.0,55,,,,
Startups ,2017,3563,7.18605,6.57526,1.20312,1.6066,61,17603,Family Games,1,3,5,4,4.0,74,Party Games,1,,
Majesty: For the Realm ,2017,6258,6.9379,6.57398,1.13837,1.7273,165,30443,Family Games,1,2,4,4,4.0,93,,,,
ICECOOL ,2016,10778,6.79484,6.57341,1.25602,1.0364,165,43701,Children's Games,1,3,4,4,4.0,106,Family Games,1,,
Little Town ,2017,3724,7.19809,6.57315,1.14302,1.9182,110,13217,Family Games,1,2,4,3,4.0,78,,,,
Codex Naturalis ,2021,3516,7.24027,6.57299,1.13535,1.7711,83,21138,Family Games,1,2,4,2,3.0,62,,,,
Falling Sky: The Gallic Revolt Against Caesar ,2016,1754,7.84725,6.57269,1.36686,3.9836,122,3306,Wargames,1,1,4,4,4.0,55,,,,
Fields of Green ,2016,3751,7.14285,6.57213,1.20601,2.6263,99,10223,Strategy Games,1,2,4,2,2.0,79,,,,
Wiz-War (Eighth Edition) ,2012,4973,7.05284,6.57186,1.43594,2.3224,245,11745,Thematic Games,1,2,4,4,4.0,83,,,,
Railroad Revolution ,2016,2770,7.33853,6.57171,1.26013,3.2613,111,6744,Strategy Games,1,2,4,3,4.0,55,,,,
Mint Works ,2017,6427,6.93224,6.57049,1.2172,1.7205,161,34444,Strategy Games,1,1,4,3,3.0,138,,,,
Dice Town ,2009,7542,6.86368,6.56857,1.26434,1.6909,372,22059,Family Games,1,3,5,4,5.0,91,,,,
Smash Up: Pretty Pretty Smash Up ,2015,3561,7.23034,6.56857,1.34046,2.1522,46,2250,Strategy Games,1,2,2,3,,10,,,,
Valley of the Kings ,2014,4760,7.01682,6.56845,1.20315,2.1796,167,13020,Strategy Games,1,2,4,2,2.0,75,,,,
The City of Kings ,2018,2477,7.54078,6.5684,1.62238,3.1959,97,10280,Strategy Games,1,1,4,1,1.0,111,Thematic Games,1,,
"Warhammer 40,000: Conquest ",2014,3177,7.36106,6.56815,1.52653,3.0362,138,13878,Customizable Games,1,2,2,2,2.0,33,,,,
Firenze ,2010,3177,7.22963,6.56752,1.1814,2.56,175,10042,Family Games,1,2,4,2,3.0,66,Strategy Games,1,,
Outfoxed! ,2014,4026,7.16016,6.56716,1.26097,1.1228,114,25582,Children's Games,1,2,4,3,4.0,82,,,,
Ticket to Ride: New York ,2018,6520,6.93043,6.56687,1.17015,1.2381,105,29776,Family Games,1,2,4,2,2.0,74,,,,
Space Hulk (Fourth Edition) ,2014,1787,7.94159,6.56664,1.43507,2.7253,91,2627,Thematic Games,1,2,2,2,2.0,35,,,,
Spicy ,2020,3961,7.17038,6.56508,1.33969,1.3831,154,25709,Party Games,1,3,6,4,5.0,80,,,,
Zombicide Season 3: Rue Morgue ,2015,2726,7.51835,6.56483,1.4595,2.481,79,3971,Thematic Games,1,1,6,3,3.0,26,,,,
Polis: Fight for the Hegemony ,2012,2354,7.5243,6.56439,1.57547,3.6756,225,5796,Strategy Games,1,2,2,2,2.0,47,Wargames,1,,
Paper Tales ,2017,4798,7.02873,6.56429,1.29483,2.165,103,16850,Strategy Games,1,2,5,4,4.0,71,,,,
Merchant of Venus (Second Edition) ,2012,3836,7.13475,6.56356,1.46703,3,237,6746,Strategy Games,1,2,4,3,3.0,72,Thematic Games,1,,
Marvel Dice Masters: Uncanny X-Men ,2014,3816,7.15723,6.563,1.38223,2.3684,114,12867,Customizable Games,1,2,2,2,2.0,20,,,,
Islebound ,2016,3546,7.16943,6.56282,1.22229,2.7176,85,6617,Strategy Games,1,2,4,3,4.0,52,,,,
A Distant Plain ,2013,1729,7.83541,6.56276,1.37342,3.8649,148,2786,Wargames,1,1,4,4,4.0,49,,,,
NMBR 9 ,2017,7337,6.86681,6.56237,1.22752,1.2205,127,61670,Abstract Games,1,1,4,3,4.0,85,Family Games,1,,
Explorers of the North Sea ,2016,2981,7.29998,6.56237,1.18204,2.1262,103,9667,Strategy Games,1,1,4,4,4.0,55,,,,
Alma Mater ,2020,2689,7.38207,6.56207,1.31845,3.7451,153,6008,Strategy Games,1,2,4,4,4.0,104,,,,
Super Fantasy Brawl ,2022,2207,7.6994,6.56159,1.54895,2.2754,69,10398,Strategy Games,1,2,2,2,2.0,49,,,,
Nations: The Dice Game ,2014,5580,6.94298,6.56116,1.26077,2.0042,237,32266,Family Games,1,1,4,4,4.0,88,Strategy Games,1,,
The Lord of the Rings ,2000,15524,6.73801,6.55928,1.47126,2.5622,1334,27392,Thematic Games,1,1,5,4,4.0,240,,,,
CO₂ ,2012,3894,7.10889,6.55777,1.49519,3.8738,325,7231,Strategy Games,1,1,4,4,4.0,98,,,,
The Reckoners ,2018,2000,7.6872,6.55759,1.35882,2.7358,53,6228,Thematic Games,1,1,6,4,4.0,40,,,,
Rallyman: GT ,2020,3756,7.21689,6.55652,1.57585,2.2212,113,35071,Thematic Games,1,1,6,4,5.0,74,,,,
Fauna ,2008,4517,7.03626,6.55638,1.24691,1.4741,232,15432,Family Games,1,2,6,4,5.0,72,,,,
Linko ,2014,4926,6.99363,6.55576,1.20837,1.3917,240,39879,Family Games,1,2,5,4,4.0,109,,,,
Shikoku 1889 ,2004,1495,7.93399,6.55538,1.26262,3.9136,81,7575,Strategy Games,1,3,4,3,4.0,60,,,,
Quarto ,1991,7484,6.88323,6.55446,1.36528,1.9009,343,42351,Abstract Games,1,2,2,2,2.0,70,,,,
Jekyll vs. Hyde ,2021,2966,7.28759,6.55308,1.24826,1.8873,71,18054,Family Games,1,2,2,2,2.0,34,,,,
Tales & Games: The Hare & the Tortoise ,2011,4106,7.08116,6.55294,1.15108,1.3643,140,18631,Family Games,1,2,5,4,4.0,63,,,,
Metropolys ,2008,4232,7.03986,6.55238,1.19603,2.2045,396,11911,Strategy Games,1,2,4,4,4.0,127,,,,
Via Nebula ,2016,4478,7.03077,6.55229,1.15427,2.2381,126,12189,Family Games,1,2,4,3,4.0,80,Strategy Games,1,,
Ghost Fightin' Treasure Hunters ,2013,3802,7.15009,6.55105,1.21312,1.623,122,16411,Children's Games,1,1,4,4,4.0,59,Family Games,1,,
The Big Book of Madness ,2015,6676,6.9066,6.55078,1.32449,2.6893,177,15363,Strategy Games,1,2,4,3,3.0,122,,,,
Rex: Final Days of an Empire ,2012,4457,7.05984,6.54991,1.52753,3.2863,262,5084,Strategy Games,1,4,6,6,6.0,114,Thematic Games,1,,
Two Rooms and a Boom ,2013,5215,6.98514,6.54932,1.66304,1.4338,136,21638,Party Games,1,8,30,14,14.0,70,,,,
CuBirds ,2018,6311,6.92864,6.54875,1.27,1.3052,154,75701,Family Games,1,2,5,3,3.0,122,,,,
Beer & Bread ,2022,2282,7.51212,6.54872,1.10158,2.3286,70,8580,Family Games,1,2,2,2,2.0,28,,,,
Loony Quest ,2015,6361,6.88889,6.54686,1.13683,1.1964,168,19887,Family Games,1,2,5,4,4.0,43,,,,
Zendo ,2001,3148,7.21767,6.54605,1.62937,2.5189,212,17369,Abstract Games,1,3,5,4,4.0,45,,,,
Tawantinsuyu: The Inca Empire ,2020,2388,7.44599,6.54571,1.39061,4.0978,184,6026,Strategy Games,1,1,4,3,4.0,78,,,,
Botanik ,2021,1934,7.6704,6.54546,1.15299,1.8163,49,11794,Family Games,1,2,2,2,2.0,19,,,,
Smash Up: Monster Smash ,2014,3214,7.25922,6.54431,1.31175,2.234,47,2018,Family Games,1,2,2,3,,15,Strategy Games,1,,
Small World of Warcraft ,2020,3055,7.34986,6.5443,1.29294,2.5938,64,4755,Strategy Games,1,2,5,4,4.0,37,,,,
Smart10 ,2017,2202,7.51054,6.5431,1.1567,1.1961,51,17748,Family Games,1,2,6,3,4.0,48,Party Games,1,,
When I Dream ,2016,5380,6.97039,6.54309,1.32202,1.2,80,13214,Party Games,1,4,10,6,6.0,49,,,,
Hardback ,2018,3318,7.18001,6.54288,1.2844,2.1207,58,15879,Family Games,1,1,4,2,2.0,44,Strategy Games,1,,
Star Wars: Legion ,2018,1785,8.01944,6.54273,1.55131,3.4906,53,7252,Customizable Games,1,2,2,2,2.0,20,Wargames,1,,
Expeditions ,2023,1697,7.90822,6.5427,1.47776,3.044,91,5892,Strategy Games,1,1,4,3,3.0,79,,,,
Runebound: Second Edition ,2005,8034,6.88757,6.54238,1.52838,2.678,823,15168,Thematic Games,1,1,4,2,2.0,239,,,,
The Castles of Tuscany ,2020,3003,7.24998,6.54171,1.17529,2.2111,90,11220,Strategy Games,1,2,4,3,3.0,47,,,,
Dream Home ,2016,7004,6.87756,6.54163,1.17447,1.6667,165,30108,Family Games,1,2,4,3,4.0,88,,,,
Smash Up ,2012,26686,6.70988,6.54113,1.49658,2.0653,965,71571,Family Games,1,2,4,3,3.0,406,Strategy Games,1,,
Oriflamme ,2019,3778,7.13204,6.54084,1.26471,1.6429,112,20577,Family Games,1,3,5,4,4.0,71,Strategy Games,1,,
Wilderness War ,2001,1855,7.71002,6.54068,1.32999,3.2978,225,2765,Wargames,1,2,2,2,2.0,37,,,,
Pictomania (Second Edition) ,2018,1970,7.58851,6.54041,1.20201,1.4444,45,7358,Party Games,1,3,6,5,6.0,28,,,,
Terror in Meeple City ,2013,7488,6.83279,6.54016,1.27465,1.4781,320,18104,Family Games,1,2,4,4,4.0,62,,,,
Tsuro ,2005,27343,6.66438,6.54013,1.32906,1.2245,1354,130456,Abstract Games,1,3,8,4,4.0,287,Family Games,1,,
Tide of Iron ,2007,3840,7.19972,6.54004,1.49211,3.4563,572,5752,Wargames,1,2,2,2,2.0,105,,,,
Mr. Jack in New York ,2009,3394,7.19327,6.53888,1.26868,2.5342,161,8687,Strategy Games,1,2,2,2,2.0,36,,,,
Men at Work ,2019,3080,7.23235,6.53862,1.2313,1.0909,55,12462,Family Games,1,2,5,3,4.0,31,,,,
Quarriors! ,2011,13743,6.7375,6.53656,1.43324,1.9686,764,55839,Strategy Games,1,2,4,3,4.0,236,,,,
Axis & Allies Anniversary Edition ,2008,2952,7.43297,6.53641,1.7319,3.1048,210,2806,Wargames,1,2,6,2,2.0,138,,,,
Vinci ,1999,4044,7.06841,6.53614,1.34859,2.7823,441,6713,Strategy Games,1,3,5,4,4.0,67,,,,
Thunderstone: Dragonspire ,2011,2715,7.32369,6.53561,1.46618,2.6942,121,5218,Strategy Games,1,1,4,2,3.0,36,Thematic Games,1,,
Stronghold ,2009,3461,7.1379,6.5346,1.4288,3.6743,304,5338,Strategy Games,1,2,4,2,2.0,93,,,,
Set a Watch ,2019,3186,7.26065,6.53451,1.29746,2.3762,101,7647,Thematic Games,1,1,4,1,1.0,138,,,,
Ambush! ,1983,2354,7.50807,6.53442,1.54422,3.2571,280,2800,Wargames,1,1,1,1,1.0,77,,,,
Horizons of Spirit Island ,2022,1168,8.36173,6.53362,1.38738,3.5312,64,2726,Strategy Games,1,1,3,2,3.0,43,,,,
Netrunner ,1996,2444,7.437,6.53345,1.61225,2.9384,211,5094,Customizable Games,1,2,2,2,2.0,32,,,,
Merlin ,2017,3561,7.12952,6.53312,1.3815,3.0813,123,10237,Strategy Games,1,2,4,3,3.0,65,,,,
Canopy ,2021,2484,7.41536,6.53195,1.15474,2,83,9282,Family Games,1,1,3,2,2.0,61,,,,
The Prodigals Club ,2015,2651,7.29843,6.53079,1.2023,3.2474,97,5246,Strategy Games,1,2,5,4,4.0,41,,,,
Rolling Realms ,2021,3278,7.17455,6.52994,1.26476,1.9103,78,23192,Family Games,1,1,6,1,2.0,50,,,,
Ikusa ,1986,5160,7.02733,6.52965,1.38167,2.9516,517,3883,Thematic Games,1,3,5,4,5.0,82,Wargames,1,,
Faiyum ,2020,2089,7.51187,6.52964,1.23001,3.0857,105,5010,Strategy Games,1,1,5,4,4.0,105,,,,
Jump Drive ,2017,4510,6.99382,6.52959,1.36589,2.0189,106,56361,Family Games,1,1,4,3,3.0,96,Strategy Games,1,,
Mottainai ,2015,4156,7.02997,6.52946,1.53717,3.1429,175,25270,Strategy Games,1,2,3,2,2.0,94,,,,
Conspiracy: Abyss Universe ,2019,2849,7.27557,6.52917,1.141,1.7791,86,23896,Family Games,1,2,4,2,3.0,65,,,,
Haggis ,2010,4344,6.9926,6.52841,1.35756,2.1116,215,19789,Strategy Games,1,2,3,2,2.0,94,,,,
China ,2005,4480,6.98049,6.52773,1.17732,2.2848,488,11927,Strategy Games,1,3,5,3,3.0,96,,,,
Coconuts ,2013,4351,7.03072,6.52699,1.2963,1.039,154,37308,Children's Games,1,2,4,4,4.0,49,Family Games,1,,
Kingdomino Origins ,2021,1956,7.57734,6.52692,1.04907,1.9302,43,7477,Family Games,1,2,4,2,2.0,24,,,,
Shadow Hunters ,2005,8682,6.82259,6.52639,1.51611,1.8215,493,39547,Party Games,1,5,8,7,8.0,165,,,,
Batman: Gotham City Chronicles ,2019,2533,7.6344,6.52634,1.78184,3.7436,117,6881,Thematic Games,1,2,4,2,2.0,63,,,,
Insider ,2016,3886,7.05412,6.52445,1.29785,1.127,63,31113,Party Games,1,4,8,6,6.0,50,,,,
Animal Upon Animal ,2005,8280,6.78937,6.52312,1.1828,1.0402,398,53678,Children's Games,1,2,4,4,4.0,112,,,,
Eight-Minute Empire: Legends ,2013,5144,6.92534,6.52291,1.15447,1.9797,197,11034,Family Games,1,2,4,4,4.0,69,Strategy Games,1,,
Stella: Dixit Universe ,2021,2684,7.31218,6.52132,1.24006,1.1475,61,13777,Family Games,1,3,6,5,6.0,40,Party Games,1,,
Automania ,2015,2464,7.32332,6.51917,1.06581,2.74,100,5161,Strategy Games,1,2,4,4,4.0,49,,,,
Diamonds ,2014,5388,6.89761,6.5177,1.21794,1.546,174,20431,Family Games,1,3,6,4,5.0,54,,,,
BattleCON: War of Indines ,2010,1911,7.65618,6.51728,1.60963,2.7586,87,5904,Strategy Games,1,2,4,2,2.0,29,,,,
Wendake ,2017,2161,7.48138,6.51681,1.2584,3.61,100,4760,Strategy Games,1,1,4,4,4.0,56,,,,
Battle Cry ,1999,3521,7.1521,6.5167,1.37905,2.095,421,8019,Wargames,1,2,2,2,2.0,55,,,,
Obscurio ,2019,3485,7.1469,6.51627,1.31857,1.8814,59,7764,Family Games,1,4,8,5,8.0,51,,,,
Dead Men Tell No Tales ,2015,3729,7.11415,6.51616,1.26741,2.518,139,7856,Strategy Games,1,1,5,3,3.0,60,Thematic Games,1,,
Encore! ,2016,4763,6.96264,6.51381,1.12801,1.1461,89,86269,Family Games,1,1,6,2,2.0,82,,,,
Chimera Station ,2017,2799,7.238,6.51357,1.27271,3.1512,86,6965,Strategy Games,1,2,4,3,3.0,58,,,,
Shadowrun: Crossfire ,2014,3648,7.12175,6.51326,1.68597,2.8242,182,21672,Thematic Games,1,1,4,4,4.0,103,,,,
Domaine ,2003,4470,6.98524,6.51318,1.25214,2.7113,471,7018,Strategy Games,1,2,4,4,4.0,83,,,,
"Julius Caesar: Caesar, Pompey, and the Roman Civil War ",2010,1651,7.78059,6.51273,1.30145,2.4566,173,4337,Wargames,1,2,2,2,2.0,32,,,,
Sushi Roll ,2019,3880,7.04706,6.51273,1.13889,1.2333,60,14632,Family Games,1,2,5,4,4.0,43,,,,
Three Kingdoms Redux ,2014,1524,7.86453,6.51141,1.4188,4.0488,123,2967,Strategy Games,1,3,3,3,3.0,43,,,,
Fallout Shelter: The Board Game ,2020,2959,7.25189,6.51132,1.1297,2.0141,71,6176,Family Games,1,2,4,3,3.0,40,,,,
Legacy of Dragonholt ,2017,3084,7.22158,6.51124,1.68996,1.234,94,10722,Thematic Games,1,1,3,1,1.0,127,,,,
Loopin' Louie ,1992,9257,6.74769,6.51042,1.48154,1.0522,651,95216,Children's Games,1,2,2,4,4.0,168,,,,
Andean Abyss ,2012,1916,7.61224,6.51035,1.40177,3.7833,203,3737,Wargames,1,1,4,4,4.0,66,,,,
Deep Space D-6 ,2015,3426,7.17857,6.51005,1.33719,1.6697,109,28400,Thematic Games,1,1,1,1,1.0,55,,,,
Mysterium Park ,2020,3710,7.10536,6.50992,1.28541,1.4697,66,12561,Family Games,1,2,6,4,4.0,51,Thematic Games,1,,
Yggdrasil ,2011,3959,7.03523,6.5094,1.3667,2.5973,226,10172,Strategy Games,1,1,6,2,3.0,91,Thematic Games,1,,
Cockroach Poker Royal ,2012,3800,7.05807,6.50872,1.36965,1.1212,99,17579,Party Games,1,3,6,4,5.0,48,,,,
Quartermaster General ,2014,2686,7.30794,6.50868,1.48352,2.2922,154,8994,Strategy Games,1,2,2,6,6.0,101,Wargames,1,,
Honshū ,2016,4995,6.92045,6.50716,1.11837,1.9368,95,16557,Family Games,1,2,5,4,4.0,66,,,,
Catan Card Game ,1996,13890,6.70465,6.50684,1.41601,2.4402,1129,21424,Strategy Games,1,2,2,2,2.0,112,,,,
Witness ,2014,2659,7.24935,6.50593,1.39855,1.5,64,10440,Party Games,1,4,4,4,4.0,26,Thematic Games,1,,
Horrified: American Monsters ,2021,2072,7.55707,6.50562,1.13576,2.1379,29,4798,Strategy Games,1,1,5,3,3.0,26,Thematic Games,1,,
On Tour ,2019,4785,6.94351,6.50496,1.31175,1.45,80,25498,Family Games,1,1,8,2,2.0,57,,,,
World of Warcraft: Wrath of the Lich King ,2021,2426,7.47723,6.50496,1.25818,2.1695,59,5233,Thematic Games,1,1,5,3,3.0,38,,,,
Forum Trajanum ,2018,2796,7.23096,6.50487,1.33186,3.4649,114,9312,Strategy Games,1,2,4,3,3.0,53,,,,
Unlock!: Escape Adventures – Squeek & Sausage ,2017,2969,7.16293,6.50485,1.32468,2.0857,35,3711,Thematic Games,1,1,4,2,3.0,42,,,,
Fortune and Glory: The Cliffhanger Game ,2011,3853,7.10204,6.50467,1.66777,2.881,252,7935,Thematic Games,1,1,6,3,3.0,81,,,,
Sons of Anarchy: Men of Mayhem ,2014,2898,7.25454,6.50404,1.3544,2.5648,108,4717,Thematic Games,1,3,4,4,4.0,60,,,,
Cross Clues ,2020,2899,7.26926,6.50371,1.25118,1.0411,73,32179,Party Games,1,2,6,4,4.0,60,,,,
Battles of Westeros ,2010,2980,7.24781,6.5036,1.47825,3.2193,228,4820,Thematic Games,1,2,2,2,2.0,34,Wargames,1,,
Risk: Star Wars Edition ,2015,4187,7.00355,6.50305,1.24003,1.8521,142,9790,Thematic Games,1,2,2,2,2.0,60,,,,
The Game ,2015,11187,6.71166,6.5022,1.32814,1.2444,360,93699,Family Games,1,1,5,3,3.0,149,,,,
Power Grid: Factory Manager ,2009,6001,6.8424,6.50122,1.33619,2.9958,475,10510,Strategy Games,1,2,5,4,4.0,71,,,,
